WID	WORD	LABEL	FACTOR	VALUE
1	にとっての	にとっての-0011D=1xx=44-立場-視点-ニトッテ類	KNOW	1.60282928
2	にとっての	にとっての-0011D=1xx=44-立場-視点-ニトッテ類	WRITE	0.786107816
3	にとっての	にとっての-0011D=1xx=44-立場-視点-ニトッテ類	READ	0.965166727
4	にとっての	にとっての-0011D=1xx=44-立場-視点-ニトッテ類	SPEAK	1.112115144
5	にとっての	にとっての-0011D=1xx=44-立場-視点-ニトッテ類	LISTEN	0.892546325
6	にとって	にとって-0011P=1xx=01-立場-視点-ニトッテ類	KNOW	2.050577019
7	にとって	にとって-0011P=1xx=01-立場-視点-ニトッテ類	WRITE	1.661719247
8	にとって	にとって-0011P=1xx=01-立場-視点-ニトッテ類	READ	1.79267285
9	にとって	にとって-0011P=1xx=01-立場-視点-ニトッテ類	SPEAK	1.672853787
10	にとって	にとって-0011P=1xx=01-立場-視点-ニトッテ類	LISTEN	1.722373955
11	にとっちゃ	にとっちゃ-0011P=1hx=34-立場-視点-ニトッテ類	KNOW	0.986185836
12	にとっちゃ	にとっちゃ-0011P=1hx=34-立場-視点-ニトッテ類	WRITE	0.080543804
13	にとっちゃ	にとっちゃ-0011P=1hx=34-立場-視点-ニトッテ類	READ	0.411286699
14	にとっちゃ	にとっちゃ-0011P=1hx=34-立場-視点-ニトッテ類	SPEAK	0.496661254
15	にとっちゃ	にとっちゃ-0011P=1hx=34-立場-視点-ニトッテ類	LISTEN	0.476756425
16	にとり	にとり-0011P=2xx=04-立場-視点-ニトッテ類	KNOW	0.7418683
17	にとり	にとり-0011P=2xx=04-立場-視点-ニトッテ類	WRITE	-0.150173938
18	にとり	にとり-0011P=2xx=04-立場-視点-ニトッテ類	READ	0.066286226
19	にとり	にとり-0011P=2xx=04-立場-視点-ニトッテ類	SPEAK	-0.136354156
20	にとり	にとり-0011P=2xx=04-立場-視点-ニトッテ類	LISTEN	-0.014981583
21	からすると	からすると-0021P=1xx=19-立場-根拠-カラスルト類	KNOW	1.427546394
22	からすると	からすると-0021P=1xx=19-立場-根拠-カラスルト類	WRITE	0.812845059
23	からすると	からすると-0021P=1xx=19-立場-根拠-カラスルト類	READ	1.103027278
24	からすると	からすると-0021P=1xx=19-立場-根拠-カラスルト類	SPEAK	0.984931857
25	からすると	からすると-0021P=1xx=19-立場-根拠-カラスルト類	LISTEN	1.016111194
26	からすりゃ	からすりゃ-0021P=2bx=41-立場-根拠-カラスルト類	KNOW	1.179764262
27	からすりゃ	からすりゃ-0021P=2bx=41-立場-根拠-カラスルト類	WRITE	0.083888629
28	からすりゃ	からすりゃ-0021P=2bx=41-立場-根拠-カラスルト類	READ	0.140322308
29	からすりゃ	からすりゃ-0021P=2bx=41-立場-根拠-カラスルト類	SPEAK	0.227640849
30	からすりゃ	からすりゃ-0021P=2bx=41-立場-根拠-カラスルト類	LISTEN	0.277989612
31	からすれば	からすれば-0021P=2xx=20-立場-根拠-カラスルト類	KNOW	1.785133111
32	からすれば	からすれば-0021P=2xx=20-立場-根拠-カラスルト類	WRITE	1.101373659
33	からすれば	からすれば-0021P=2xx=20-立場-根拠-カラスルト類	READ	1.157180114
34	からすれば	からすれば-0021P=2xx=20-立場-根拠-カラスルト類	SPEAK	1.11383638
35	からすれば	からすれば-0021P=2xx=20-立場-根拠-カラスルト類	LISTEN	1.236171249
36	からしたら	からしたら-0021P=3xx=21-立場-根拠-カラスルト類	KNOW	1.474525088
37	からしたら	からしたら-0021P=3xx=21-立場-根拠-カラスルト類	WRITE	0.649205984
38	からしたら	からしたら-0021P=3xx=21-立場-根拠-カラスルト類	READ	0.791164177
39	からしたら	からしたら-0021P=3xx=21-立場-根拠-カラスルト類	SPEAK	0.927508207
40	からしたら	からしたら-0021P=3xx=21-立場-根拠-カラスルト類	LISTEN	0.981454458
41	からしちゃ	からしちゃ-0021P=4hx=34-立場-根拠-カラスルト類	KNOW	0.18150687
42	からしちゃ	からしちゃ-0021P=4hx=34-立場-根拠-カラスルト類	WRITE	-0.423033904
43	からしちゃ	からしちゃ-0021P=4hx=34-立場-根拠-カラスルト類	READ	-0.303852442
44	からしちゃ	からしちゃ-0021P=4hx=34-立場-根拠-カラスルト類	SPEAK	-0.324500977
45	からしちゃ	からしちゃ-0021P=4hx=34-立場-根拠-カラスルト類	LISTEN	-0.323982896
46	からして	からして-0291P=1xx=01-起点-極端例-カラシテ類	KNOW	1.63457928
47	からして	からして-0291P=1xx=01-起点-極端例-カラシテ類	WRITE	0.63146371
48	からして	からして-0291P=1xx=01-起点-極端例-カラシテ類	READ	0.883059713
49	からして	からして-0291P=1xx=01-起点-極端例-カラシテ類	SPEAK	0.666685129
50	からして	からして-0291P=1xx=01-起点-極端例-カラシテ類	LISTEN	0.904971376
51	としての	としての-0031D=1xx=44-立場-状態-トシテ類	KNOW	1.740033155
52	としての	としての-0031D=1xx=44-立場-状態-トシテ類	WRITE	1.026188449
53	としての	としての-0031D=1xx=44-立場-状態-トシテ類	READ	1.156315653
54	としての	としての-0031D=1xx=44-立場-状態-トシテ類	SPEAK	0.899348948
55	としての	としての-0031D=1xx=44-立場-状態-トシテ類	LISTEN	0.942168715
56	として	として-0032T=1xx=01-強調-全面的-トシテ類	KNOW	1.882839497
57	として	として-0032T=1xx=01-強調-全面的-トシテ類	WRITE	1.370305142
58	として	として-0032T=1xx=01-強調-全面的-トシテ類	READ	1.441629594
59	として	として-0032T=1xx=01-強調-全面的-トシテ類	SPEAK	1.349896987
60	として	として-0032T=1xx=01-強調-全面的-トシテ類	LISTEN	1.405538941
61	としちゃ	としちゃ-2902W=1hx=34-話題-提示-ニシテハ類	KNOW	0.623392058
62	としちゃ	としちゃ-2902W=1hx=34-話題-提示-ニシテハ類	WRITE	-0.431759377
63	としちゃ	としちゃ-2902W=1hx=34-話題-提示-ニシテハ類	READ	-0.117678212
64	としちゃ	としちゃ-2902W=1hx=34-話題-提示-ニシテハ類	SPEAK	-0.135739998
65	としちゃ	としちゃ-2902W=1hx=34-話題-提示-ニシテハ類	LISTEN	-0.116391989
66	とし	とし-0031P=2xx=04-立場-状態-トシテ類	KNOW	1.155000202
67	とし	とし-0031P=2xx=04-立場-状態-トシテ類	WRITE	0.509177336
68	とし	とし-0031P=2xx=04-立場-状態-トシテ類	READ	0.750994092
69	とし	とし-0031P=2xx=04-立場-状態-トシテ類	SPEAK	0.424512377
70	とし	とし-0031P=2xx=04-立場-状態-トシテ類	LISTEN	0.588136287
71	からみての	からみての-0041D=1xx=44-立場-根拠-カラスルト類	KNOW	0.926129904
72	からみての	からみての-0041D=1xx=44-立場-根拠-カラスルト類	WRITE	0.22237349
73	からみての	からみての-0041D=1xx=44-立場-根拠-カラスルト類	READ	0.389865335
74	からみての	からみての-0041D=1xx=44-立場-根拠-カラスルト類	SPEAK	0.169907541
75	からみての	からみての-0041D=1xx=44-立場-根拠-カラスルト類	LISTEN	0.240477683
76	からみた	からみた-0041D=2xx=53-立場-根拠-カラスルト類	KNOW	1.036168246
77	からみた	からみた-0041D=2xx=53-立場-根拠-カラスルト類	WRITE	0.383397837
78	からみた	からみた-0041D=2xx=53-立場-根拠-カラスルト類	READ	0.525266837
79	からみた	からみた-0041D=2xx=53-立場-根拠-カラスルト類	SPEAK	0.369160495
80	からみた	からみた-0041D=2xx=53-立場-根拠-カラスルト類	LISTEN	0.45811061
81	からみて	からみて-0041P=4xx=01-立場-根拠-カラスルト類	KNOW	1.345197597
82	からみて	からみて-0041P=4xx=01-立場-根拠-カラスルト類	WRITE	0.598226077
83	からみて	からみて-0041P=4xx=01-立場-根拠-カラスルト類	READ	0.93191961
84	からみて	からみて-0041P=4xx=01-立場-根拠-カラスルト類	SPEAK	0.634844185
85	からみて	からみて-0041P=4xx=01-立場-根拠-カラスルト類	LISTEN	0.745052248
86	からみると	からみると-0041P=1xx=19-立場-根拠-カラスルト類	KNOW	1.226249372
87	からみると	からみると-0041P=1xx=19-立場-根拠-カラスルト類	WRITE	0.554003823
88	からみると	からみると-0041P=1xx=19-立場-根拠-カラスルト類	READ	0.758732587
89	からみると	からみると-0041P=1xx=19-立場-根拠-カラスルト類	SPEAK	0.619215276
90	からみると	からみると-0041P=1xx=19-立場-根拠-カラスルト類	LISTEN	0.758009591
91	からみりゃ	からみりゃ-0041P=2bx=41-立場-根拠-カラスルト類	KNOW	0.570939845
92	からみりゃ	からみりゃ-0041P=2bx=41-立場-根拠-カラスルト類	WRITE	-0.353908916
93	からみりゃ	からみりゃ-0041P=2bx=41-立場-根拠-カラスルト類	READ	-0.170416329
94	からみりゃ	からみりゃ-0041P=2bx=41-立場-根拠-カラスルト類	SPEAK	-0.039595907
95	からみりゃ	からみりゃ-0041P=2bx=41-立場-根拠-カラスルト類	LISTEN	0.023790516
96	からみれば	からみれば-0041P=2xx=20-立場-根拠-カラスルト類	KNOW	1.637876365
97	からみれば	からみれば-0041P=2xx=20-立場-根拠-カラスルト類	WRITE	0.994965696
98	からみれば	からみれば-0041P=2xx=20-立場-根拠-カラスルト類	READ	1.271186968
99	からみれば	からみれば-0041P=2xx=20-立場-根拠-カラスルト類	SPEAK	1.076917219
100	からみれば	からみれば-0041P=2xx=20-立場-根拠-カラスルト類	LISTEN	1.198175325
101	からみたら	からみたら-0041P=3xx=21-立場-根拠-カラスルト類	KNOW	1.552445024
102	からみたら	からみたら-0041P=3xx=21-立場-根拠-カラスルト類	WRITE	0.881946558
103	からみたら	からみたら-0041P=3xx=21-立場-根拠-カラスルト類	READ	1.003953053
104	からみたら	からみたら-0041P=3xx=21-立場-根拠-カラスルト類	SPEAK	0.982979823
105	からみたら	からみたら-0041P=3xx=21-立場-根拠-カラスルト類	LISTEN	1.138354345
106	からみちゃ	からみちゃ-0041P=4hx=34-立場-根拠-カラスルト類	KNOW	-0.358933136
107	からみちゃ	からみちゃ-0041P=4hx=34-立場-根拠-カラスルト類	WRITE	-0.783367891
108	からみちゃ	からみちゃ-0041P=4hx=34-立場-根拠-カラスルト類	READ	-0.728494331
109	からみちゃ	からみちゃ-0041P=4hx=34-立場-根拠-カラスルト類	SPEAK	-0.704277849
110	からみちゃ	からみちゃ-0041P=4hx=34-立場-根拠-カラスルト類	LISTEN	-0.67107824
111	からいうと	からいうと-0051P=1xx=19-立場-根拠-カラスルト類	KNOW	1.438573964
112	からいうと	からいうと-0051P=1xx=19-立場-根拠-カラスルト類	WRITE	0.81608802
113	からいうと	からいうと-0051P=1xx=19-立場-根拠-カラスルト類	READ	0.970379659
114	からいうと	からいうと-0051P=1xx=19-立場-根拠-カラスルト類	SPEAK	1.008847288
115	からいうと	からいうと-0051P=1xx=19-立場-根拠-カラスルト類	LISTEN	0.905395291
116	からいえば	からいえば-0051P=2xx=20-立場-根拠-カラスルト類	KNOW	1.407316475
117	からいえば	からいえば-0051P=2xx=20-立場-根拠-カラスルト類	WRITE	0.706074756
118	からいえば	からいえば-0051P=2xx=20-立場-根拠-カラスルト類	READ	0.846536047
119	からいえば	からいえば-0051P=2xx=20-立場-根拠-カラスルト類	SPEAK	0.807859142
120	からいえば	からいえば-0051P=2xx=20-立場-根拠-カラスルト類	LISTEN	0.862423298
121	からいったら	からいったら-0051P=3xx=21-立場-根拠-カラスルト類	KNOW	0.915790179
122	からいったら	からいったら-0051P=3xx=21-立場-根拠-カラスルト類	WRITE	0.347799263
123	からいったら	からいったら-0051P=3xx=21-立場-根拠-カラスルト類	READ	0.321357261
124	からいったら	からいったら-0051P=3xx=21-立場-根拠-カラスルト類	SPEAK	0.350675429
125	からいったら	からいったら-0051P=3xx=21-立場-根拠-カラスルト類	LISTEN	0.391958748
126	からいっちゃ	からいっちゃ-0051P=4hx=34-立場-根拠-カラスルト類	KNOW	-0.072211862
127	からいっちゃ	からいっちゃ-0051P=4hx=34-立場-根拠-カラスルト類	WRITE	-0.680190939
128	からいっちゃ	からいっちゃ-0051P=4hx=34-立場-根拠-カラスルト類	READ	-0.677450252
129	からいっちゃ	からいっちゃ-0051P=4hx=34-立場-根拠-カラスルト類	SPEAK	-0.67632342
130	からいっちゃ	からいっちゃ-0051P=4hx=34-立場-根拠-カラスルト類	LISTEN	-0.720907126
131	からいって	からいって-0051P=4xx=01-立場-根拠-カラスルト類	KNOW	1.32010618
132	からいって	からいって-0051P=4xx=01-立場-根拠-カラスルト類	WRITE	0.272719339
133	からいって	からいって-0051P=4xx=01-立場-根拠-カラスルト類	READ	0.614724609
